Unnamed: 0,Question,A,B,C,D,Answer,Grade,remain
3153,Which of the following trees usually lives under the shade of other trees?,Paddy,Ramie leaves,Casuarina,Gotu kola,D,Born 6,True
3154,Which of the following plants often grows wild in the midlands?,Myrtle,Cinnamon tree,Cactus,Piper lolot,A,Born 6,True
3155,"To shorten harvest time, people often grow sweet potatoes in which of the following ways?",Planting by bulbs,Cuttings,Cuttings,Grafting,B,Born 6,True
3156,Which of the following plants has rhizomes?,Bamboo,Potato,Tomato,Grapefruit,A,Born 6,True
3157,"The perianth consists of two parts, which are",corolla and stamens,calyx and corolla,stamens and pistils,calyx and pistil,B,Born 6,True
3158,"In mature tree trunks, where is the cambium layer located?",Lying in the shell,Located between phloem and xylem,Located outside the sieve tube,Located inside the wood grain,B,Born 6,True
3159,Stamens and pistils do not exist at the same time in a flower.,grapefruit,willow,guava,apple,B,Born 6,True
3160,Which of the following plants has predatory leaves?,Lid,Tomato,Dog tail algae,Spinach,A,Born 6,True
3161,Root hairs are part of the,cortex cell,epidermal cells,companion cells,trachea,B,Born 6,True
3162,The chemical composition of chromatin in the cell nucleus is:,DNA and protein,RNA and glucose,Protein and lipid,DNA and RNA,A,Born 6,True
3163,The living world is classified into groups in ascending order:,kingdom - phylum - class - order - family - genus - species.,species - order - family - genus - class - phylum - kingdom.,species - genus - family - order - class - phylum - kingdom.,species - genus - order - family - class - phylum - kingdom.,C,Born 6,True
3166,On the smooth endoplasmic reticulum membrane there are many types of the following substances,Enzyme,Hormones,Antibodies,Polysaccharide,A,Born 6,True
3167,Protein diversity is determined by,Amino groups of amino acids,R groups of amino acids,Peptide bond,"Composition, quantity and order of amino acids in protein molecules",D,Born 6,True
3170,The components of each Nucleotide are:,"Sugar, Acid and Protein","Sugars, nitrogenous bases and acids","Acids, Proteins and Lipids","Lipids, Sugars and Proteins",B,Born 6,True
3171,The most basic characteristic to distinguish vertebrates from invertebrates is,bilaterally symmetrical body with exoskeleton.,bilaterally symmetrical body with endoskeleton.,has an endoskeleton and an exoskeleton.,has endoskeleton and spine.,D,Born 10,True
3172,Which of the following is the main product produced from mitochondrial activity?,Polysaccharide,nucleic acid,Reserve substances,energy reserve,D,Born 10,True
3173,Protein monomer is,glucose,amino acid,nucleotide,fatty acids,B,Born 10,True
3174,Which of the following structures contains proteins that perform the function of transporting substances in the body?,Chromosome,Hemoglobin,Bone,Muscle,B,Born 10,True
3175,"In the effect of temperature on enzyme activity, the optimal temperature of the environment is the temperature value at which:",Enzymes start working,Enzyme inactivation,The enzyme with the highest activity,The enzyme with the lowest activity,C,Born 10,True
3177,Which of the following properties does water have?,Solvent of many substances.,Essential constituent of cells.,Is the environment in which biochemical reactions of the body occur.,All three roles listed above.,D,Born 10,True
3178,"When chromatin contracts, which of the following structures will it form?",DNA molecule,Chromosomes,Protein molecule,Ribosome,B,Born 10,True
3179,Which of the following compounds has a structural unit of Glucose?,Maltose,Simple lipids,Phospholipid,Pentose,A,Born 10,True
3181,Between the nucleotides on the two strands of the DNA molecule there are:,G bonds to X by 2 hydrogen bonds.,A binds to T by 3 hydrogen bonds.,Hydrogen bonds follow the complementary principle.,"A, B, C are all correct.",C,Born 10,True
3183,Which of the following groups of microorganisms requires high humidity in their living environment compared to the other groups of microorganisms?,Bacteria,Yeast,Actinomycetes,Mold,A,Born 10,True
3189,Which of the following statements is correct when talking about the mechanism of photosynthesis?,"The light phase occurs first, the dark phase occurs later.","The dark phase occurs first, the light phase occurs later.",The light phase and the dark phase occur simultaneously.,"Only light phase, no dark phase.",A,Born 10,True
3191,The process of nuclear division in a mitotic cycle includes:,A period,Three periods,Two periods,Four periods,D,Born 10,True
3192,How many stages does AIDS develop?,5,4,3,2,C,Born 10,True
3194,Which of the following diseases is not caused by a virus?,Paralysis,Hepatitis B,Lang ben,Mumps,C,Born 10,True
3195,The energy released when a cell conducts glycolysis of 1 glucose molecule is:,Two ADP molecules,An ADP molecule,Two ATP molecules,One ATP molecule,C,Born 10,True
3196,Bacteria reproduce mainly by:,Split,Conjugation,Budding,Friendly,A,Born 10,True
3197,The forms of reproduction that can be found in yeast are:,Conjugation and asexual sporulation.,Binary division and budding.,Conjugation and sexual sporulation.,By conjugation and binary fission.,B,Born 10,True
3198,The following is true about viruses:,Is the simplest form of life.,Life form without cellular structure.,Composed of only two basic components: protein and nucleic acid.,"A, B, C are all correct.",D,Born 10,True
3199,The main energy produced from respiration is:,ATP,NADH,ADP,FADH2,A,Born 10,True
3200,The dark phase of photosynthesis occurs in:,In the stroma of chloroplasts.,In the grana grains.,In the membrane of thylakoid sacs.,On the membranes of chloroplasts.,A,Born 10,True
3202,What are the two main types of tropism in plants?,positive phototropism and negative phototropism,antigravity and with gravity.,towards water and away from water.,toward and away from stimuli.,D,Born 10,True
3204,"After being transformed, nutrients will be absorbed into the blood by what mechanism?",passive and active,phagocytosis and pinocytosis.,passive.,proactive,A,Born 10,True
3206,Which pigment directly participates in converting solar energy into ATP and NADPH in photosynthesis?,Chlorophyll a,Chlorophyll b,"Chlorophyll a, b.","Chlorophyll a, b and carotenoids.",A,Born 11,True
3208,Which of the following mineral elements plays a role in helping to balance ions and photolyze water in plant bodies?,Potassium.,Chlorine.,Iron.,Molybdenum.,B,Born 11,True
3211,The role of the transpiration process of plants is:,Increase water for plants.,Helps plants transport water and substances from the roots to the stems and leaves.,Mineral balance for plants.,Reduces mineral content in plants.,B,Born 11,True
3212,Photosynthetic productivity is reduced by which of the following activities?,fixed $CO_2$,CO2 emissions,reduce $CO_2$,absorb $CO_2$,B,Born 11,True
3214,"When talking about the influence of external factors on photosynthesis, which of the following sentences has the correct content?","With the same light intensity, red rays have higher photosynthetic efficiency than blue and purple rays.","Among environmental factors, temperature is the most basic factor of photosynthesis.",The raw material that directly supplies H+ for the light reaction in photosynthesis is NADPH.,Photosynthesis in green plants begins to increase when the ambient temperature is around $25 – 35^\circ C$.,A,Born 11,True
3216,How does the tree root system affect the environment?,Destroys beneficial soil microorganisms.,Adversely affects soil properties.,Reduce environmental pollution.,All wrong.,C,Born 11,True
3220,"Before entering the xylem of the root, water and dissolved minerals must always pass through which of the following structures?",Stomatal cells.,Endodermal cells.,Root hair cells.,Parenchyma cells.,B,Born 11,True
3221,Which group of animals has the most efficient respiratory organs for gas exchange?,Reptile lungs.,Bird lungs.,Lungs and skin of frogs.,Earthworm skin.,B,Born 11,True
3222,What do vitamins do for the body?,As tissue building material.,Power supply,Participate in the composition of enzymes,Detoxify cells,C,Born 11,True
3223,What is the natural source of nitrogen for plants?,Nitrogen in the air,Nitrogen in soil,Nitrogen in water,Both A and B,D,Born 11,True
3224,What is cross pollination?,fusion of sperm and egg of the same flower.,pollination of pollen from one plant with the stigma of another plant of the same species.,pollination of pollen grains with the stigma of the same flower or different flowers of the same plant.,pollination of pollen grains of one plant with stigma of another plant.,B,Born 11,True
3225,Which of the following is not true about the advantages of tissue culture in plants?,"Restore valuable trees, reduce the cost of seedlings by reducing production space.",Rapidly multiply large numbers of disease-free seedlings.,Easily creates many genetic variations to create raw materials for breeding.,Maintain genetically desired traits.,C,Born 11,True
3226,"Given the following statements: I. The external factor that has the greatest influence on the growth and development of humans and animals is genetics. II. There are two types of animal development: development through complete metamorphosis and development through incomplete metamorphosis. III. Testosterone has the effect of causing secondary sexual characteristics in males. IV. When the cold season comes, the body of poikilothermic animals loses heat, causing metabolism in the body to decrease and reproduction to increase. The number of correct statements is:",4,2,3,1,D,Born 11,True
3229,Which characteristic is not present in primary growth in plants?,Occurs in both monocots and dicots.,Apical meristem activity occurs.,Increase the length of the tree.,The activity of the hypophytic layer takes place.,D,Born 11,True
3234,Which of the following is not true about unconditional reflexes?,Innate and sustainable.,There is no limit to the quantity.,"Inheritable, species-specific.",Usually controlled by the spinal cord.,B,Born 11,True
3238,Which of the following is not true about seeds?,Seed is the fertilized ovule that develops into.,The zygote in the seed develops into an embryo.,Triploid cells in the seed develop into the endosperm.,All seeds of flowering plants have endosperm.,D,Born 11,True
3241,Which of the following is not true about the characteristics of the ganglionic nervous system?,The number of neurons is increased compared to the reticular nerve.,"Systemic response, more energy consuming than reticular nerve.","Local response, less energy consumption compared to reticular nerve.",The ability to coordinate between neurons is increased compared to reticular neurons.,B,Born 11,True
3243,Which characteristic is not an advantage of sexual reproduction over asexual reproduction in plants?,Able to adapt to changing environmental conditions.,Create many variations as raw materials for the breeding and evolution process.,Maintain stable genetic traits.,Is the most common form of reproduction.,C,Born 11,True
3244,Protozoans are unable to receive and respond to stimuli.,Mechanics.,Chemistry.,Light,Music,D,Born 11,True
3245,The animal group with the largest number of individuals is:,Macaw.,Whale.,Flamingo.,earthworm,C,Born 11,True
3247,Hydra is effective at catching prey because:,Move quickly.,Detect bait quickly.,Has long mouth tentacles equipped with poisonous spines.,Has a large mouth and wide intestinal cavity.,C,Born 11,True
3248,Flatworms are often parasitic in,In blood.,In bile and liver.,In the intestines.,"Both A, B and C.",D,Born 7,True
3249,Squid defends itself by,Withdraw into your shell.,Spray water and run away.,Fight back.,Ink jet.,D,Born 7,True
3250,Liver flukes move by,Swimming feathers.,Side leg.,Leg stretch body.,Grip.,C,Born 7,True
3251,The nacreous layer of the mollusk's shell has a rainbow iridescence.,Due to the effect of light.,Due to the structure of the nacre layer.,Refraction of light.,"Both A, B and C.",D,Born 7,True
3252,Hydra belongs to the group,Plankton.,Parasitic animals.,Bottom animals.,Parasitic animals.,B,Born 7,True
3254,Flagellates use their eyespots to,Find food.,Avoid enemies.,Turn towards the light.,Avoid light,C,Born 7,True
3255,The larvae of mollusks that parasitize fish are,Squid.,River mussels.,Apple snail.,Octopus.,B,Born 7,True
3256,Roundworms remove waste through,Point.,Mouth.,Skin surface.,Anus.,D,Born 7,True
3257,Liver fluke larvae have eyes and swimming cilia at the stage,Hairy larvae.,Larva in snail.,Tapeworm,Tailed larva.,A,Born 7,True
3258,Earthworms differentiate by,Segmented body.,Has a formal body cavity.,Has side legs.,"Both A, B and C.",D,Born 7,True
3259,The outer layer of the arthropod body is the,Skin.,Limestone shell.,Cuticun.,Chitin shell.,D,Born 7,True
3260,The number of pairs of prey-catching pincers on the body of river shrimp is:,2 pairs.,3 pairs.,1 pair,4 pairs.,A,Born 7,True
3263,Oxygen in insects is transmitted from the tracheal system to the body cells through,Blood.,Direct contact.,Body cavity fluid.,"Both A, B and C.",B,Born 7,True
3264,How is DNA replication carried out?,"One strand is synthesized discontinuously, one strand is synthesized continuously.","Continuous strand in, discontinuous strand out of replication fork",The two strands are synthesized by the principle of continuous parallel addition.,Complementary principle and semi-conservative principle,D,Born 7,True
3265,Template for transcription is the task of,tRNA,complementary strand of DNA,DNA coding strand,mRNA,C,Born 7,True
3266,"In humans, color blindness (red-green) is caused by a recessive mutation located on the X sex chromosome (Xm). If the mother is normal and the father is color blind, then their color-blind son has inherited Xm from",paternal grandmother,dad,grandfather,Mom,D,Born 7,True
3267,The response of the same genotype to different phenotypes under different environmental conditions is called,phenotypic plasticity,phenotypic adaptation,Genotypic plasticity,autoregulation of genotype,A,Born 7,True
3268,"In cows, gene A determines black hair, gene a determines yellow hair. In a population, yellow-haired cows account for 9% of the total number of individuals in the herd. Knowing that the population is in genetic equilibrium. Find the frequency of genes A and a?",0.2 and 0.8,0.5 and 0.5,0.3 and 0.7,0.7 and 0.3,D,Born 12,True
3270,"In Mendel's experiments, when crossing purebred parents differing in a pair of contrasting traits, he found that in the second generation",segregated in a ratio of 3 dominant: 1 recessive,segregated in a 1 dominant: 1 recessive ratio,have different phenotypes from their parents,have the same phenotype as the parents,A,Born 12,True
3271,The smallest unit in the chromosome structure that includes both DNA and histone protein is,nucleotide,basic fiber,polysome,nucleosome,D,Born 12,True
3273,A mating population has a genotype composition,A = 0.8; a = 0.2,A = 0.2; a = 0.8,A = 0.4; a = 0.6,A = 0.3; a = 0.7,C,Born 12,True
3274,The type of nucleic acid involved in the composition of ribosomes is,rRNA,mRNA,tRNA,DNA,A,Born 12,True
3276,Which type of mutation is used to remove unwanted genes from chromosomes in some plant varieties?,Small paragraph transfer,Gene mutation,Aneuploidy,Small segment loss,D,Born 12,True
3281,What factors does the phenotype of an organism depend on?,environmental conditions,genotype and environment,body development process,genotype inherited by parents,B,Born 12,True
