Question,A,B,C,D,Answer,Grade,retained
Cô bé Gioan mua chuỗi ngọc lam tặng cho ai?, tặng cho người mẹ thân yêu của mình,tặng cho người chị đã nuôi Gioan từ khi mẹ cô bé mất,tặng cho người bà hiền hậu đã nuôi Gioan từ khi mẹ cô bé mất,tặng cho người cô họ đang nằm điều trị bệnh trong bệnh viện,B,Ngữ Văn 5,True
Những câu ca dao ứng với nội dung khuyên người nông dân chăm chỉ cấy cày?,"Người ta đi cấy lấy công,/ Tôi nay đi cấy còn trông nhiều bẽ.","Cày đồng đang buổi ban trưa, Mồ hôi thánh thót như mưa ruộng cày.","Ai ơi, đừng bỏ ruộng hoang, Bao nhiêu tấc đất, tấc vàng bấy nhiêu.","Trông cho chân cứng đá mềm Trời yên, biển lặng mới yên tấm lòng.",C,Ngữ Văn 5,True
"Khi được anh Thành hỏi ""Anh là người nước nào?"" thì anh Lê đã trả lời ra sao?","Anh hỏi thật lạ, tôi là người Việt Nam",Tôi chảy trong mình dòng máu đỏ da vàng,Tôi là người con của dân tộc Việt Nam, Anh hỏi thật lạ. Anh người nước nào thì tôi là người nước ấy.,D,Ngữ Văn 5,True
"Khi Bác Hồ đột ngột tới thăm hội nghị, các đại biểu đã có phản ứng như thế nào?",Các đại biểu ùa ra đón Bác,"Các đại biểu đều im lặng, xấu hổ cúi gằm mặt xuống",Các đại biểu vẫn còn bàn tán sôi nổi không hề biết đến sự xuất hiện của Bác,"Các đại biểu đứng nghiêm, chào Bác theo nghi thức",A,Ngữ Văn 5,True
"Trong truyện cổ tích Cây khế, người em chăm chỉ, hiền lành, còn .......", giỏi giang nữa,có một người anh,người anh thì lười biếng lại tham lam,nghèo khó,C,Ngữ Văn 5,True
 Thái sư là chức quan như thế nào?,"Quan nhỏ ở xã, giữ việc bắt bớ, áp giải người có tội ",Một chức quan nhỏ trong huyện,Chức quan đầu triều thời xưa,Cả ba đáp án trên đều sai,C,Ngữ Văn 5,True
Câu chuyện Thái sư Trần Thủ Độ được kể dưới thời nhà nào?,Nhà Lê,Nhà Trần,Nhà Đinh,Nhà Nguyễn,B,Ngữ Văn 5,True
"Trong câu chuyện Nhà tài trợ đặc biệt của Cách Mạng, ông Đỗ Đình Thiện được giới thiệu như thế nào?",Là một nhà tư sản lớn ở Hà Nội,Ông là một nhà tri thức nổi tiếng nhưng được nhiều người kính phục,"Đồn điền Chi Nê ở huyện Lạc Thủy, tỉnh Hòa Bình là một trong những đồn điền khá nổi tiếng của ông Đỗ Đình Thiện",Cả ba đáp án trên đều đúng,D,Ngữ Văn 5,True
Giang Văn Minh đỗ tới cấp nào trong kì thi tuyển chọn người tài?,Tiến sĩ,Thám hoa,Bảng nhãn,Trạng nguyên,B,Ngữ Văn 5,True
Ngư trường là gì?,"vùng biển có nhiều tôm cá, thuận tiện cho việc đánh bắt",vùng biển của người dân đánh bắt,vùng biển để phục vụ quân đội diễn tập,Không phải ba đáp án trên,A,Ngữ Văn 5,True
Bố và ông của Nhụ bàn với nhau việc gì?,Bàn chuyện chuyển nhà lên thủ đô sống,Bàn chuyện lấy vợ cho người anh trai của Nhụ,"Họp làng để di dân ra đảo, đưa dần cả nhà cả Nhụ ra đảo",Đóng một con thuyền thật to để chở mọi người ra đảo,C,Ngữ Văn 5,True
"Câu ca dao, tục ngữ nào dưới đây không thể hiện lòng nhân ái?",lá lành đùm lá rách,một miếng khi đói bằng một gói khi no,Nhường cơm sẻ áo,một nắng hai sương,D,Ngữ Văn 5,True
"Đọc bài Út Vịnh và điền từ còn thiếu vào chỗ chấm: ""........: thanh thép hoặc sắt nối với nhau thành hai đường song song để tạo thành đường cho tàu hỏa, tàu điện hay xe goòng chạy qua""",Thanh chắn,Thanh chấn từ,Thanh âm,Thanh ray,D,Ngữ Văn 5,True
"Trong các từ dưới đây, từ nào KHÔNG đồng nghĩa với bổn phận?",Nghĩa vụ,Chức năng,Trách nhiệm,Nhiệm vụ,B,Ngữ Văn 5,True
Chiếu cầu hiền ra đời với mục đích gì?, Kêu gọi những người theo Nguyễn Ánh ra giúp Tây Sơn,Kêu gọi các Nho sĩ ra giúp nước,Kêu gọi những người giỏi võ ra giúp nước,Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đình Tây Sơn,D,Ngữ văn 11,True
Nội dung của đoạn trích “Một thời đại trong thi ca” bàn đến vấn đề gì?,Các tác phẩm thuộc phong trào Thơ mới.,Tinh thần Thơ mới,Chủ nghĩa hiện thực Việt Nam.,Quan điểm nghệ thuật vị nhân sinh,B,Ngữ văn 11,True
"""Chiếu cầu hiền"" là của tác giả nào?",Ngô Thì Nhậm,Ngô Thì Sĩ,Ngô gia văn phái,Quang Trung,A,Ngữ văn 11,True
"Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?",Lưu Trọng Lư,Nguyễn Bính,Huy Thông,Nguyễn Nhược Pháp,C,Ngữ văn 11,True
"Hồn thơ “trong sáng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?",Thế Lữ,Lưu Trọng Lư,Nguyễn Nhược Pháp,Nguyễn Bính,C,Ngữ văn 11,True
“Cầu hiền” ở đây hướng tới đối tượng nào?,Người ăn ở hiền lành,Người có tài,Người có đức,Người có đức và tài,D,Ngữ văn 11,True
"Câu văn “Người hiền xuất hiện ở đời, thì như ngôi sao sáng trên trời cao” nói lên nội dung gì?",Nhân tài Bắc Hà nhiều như sao trên trời.,Người hiền theo Quang Trung rất nhiều như sao trời,Người hiền ở Bắc Hà rất hiếm có,"So sánh người hiền tài như vì sao tinh tú. Đề cao vị trí, vai trò của người hiền tài.",D,Ngữ văn 11,True
Đoạn trích “Tôi có một ước mơ” nằm trong:,Ăn sáng với kim cương,Người đàn ông của chúng tôi ở Havana,"Bước đến tự do, Câu chuyện Mon-ga-mo- ri- Montgomery","Một con gấu tên là Paddington, với hình minh họa của Peggy Fortnum",C,Ngữ văn 11,True
Vấn đề chủ yếu được nói tới trong văn bản “Phong cách Hồ Chí Minh” là gì?,Phong cách làm việc và nếp sống của Chủ tịch Hồ Chí Minh,Tình cảm của người dân Việt Nam đối với Chủ tịch Hồ Chí Minh,Trí tuệ tuyệt vời của Chủ tịch Hồ Chí Minh,Tinh thần chiến đấu dũng cảm của Chủ tịch Hồ Chí Minh,A,Ngữ văn 9,True
"Đọc đoạn văn sau:
""(1)Không những đi ngược lại lí trí con người mà còn đi ngược lại cả lí trí tự nhiên nữa [...]. (2)Từ khi mới nhen nhúm sự sống trên trái đất, đã phải trải qua 380 triệu năm con bướm mới bay được, rồi 180 triệu năm nữa bông hồng mới nở, chỉ để làm đẹp mà thôi... (3)Trong thời đại hoàng kim này của khoa học, trí tuệ con người chẳng có gì để tự hào vì nó đã phát minh ra một biện pháp, chỉ cần bấm nút một cái là đưa cả quá trình vĩ đại và tốn kém đó của hàng bao nhiêu triệu năm trở lại điểm xuất phát của nó."" (Đấu tranh cho một thế giới hòa bình)
Trong câu (1) của đoạn văn trên, chủ ngữ đã bị tác giả lược bỏ. Tìm cụm từ thích hợp nhất trong số các cụm từ dưới đây để khôi phục lại chủ ngữ cho câu.",Chạy đua vũ trang.,Nạn phân biệt chủng tộc.,Chiến tranh hạt nhân.,Chủ nghĩa đế quốc.,A,Ngữ văn 9,True
"Từ “ Thuyền” trong các câu thơ và ca dao sau , từ nào được dùng theo nghĩa gốc?",Thuyền về có nhớ bến chăng ? /Bến thì một dạ khăng khăng đợi thuyền.,"Cha mẹ cho em sang chuyến đò nghiêng /Thuyền chòng chành đôi mạn, em ôm duyên trở về.",Thuyền nan một chiếc ở đời /Tắm mưa chải gió trong vời Hàn Giang.,Những ngày không gặp nhau/ Biển bạc đầu thương nhớ /Những ngày xa cách nhau /Lòng thuyền đau rạn vỡ.,C,Ngữ văn 9,True
Trong câu thơ “Ngày xuân em hãy còn dài/ Xót tình máu mủ thay lời nước non” từ xuân được sử dụng với nghĩa nào?,Nghĩa gốc chỉ mùa xuân,Nghĩa chuyển chỉ tuổi trẻ,Nghĩa Hán Việt vì đây là từ mượn,Tất cả đều đúng,B,Ngữ văn 9,True
Truyện Kiều có nguồn gốc từ đâu?,Từ trong dân gian.,Từ một tác phẩm tự sự của Trung Quốc.,Thương những con người tài hoa bị chà đạp nên tác giả đã sáng tạo ra.,Từ cuộc đời một người con gái có tên là Tiểu Thanh.,B,Ngữ văn 9,True
Giá trị hiện thực của Truyện Kiều là?,Tác phẩm phản ánh sâu sắc hiện thực xã hội đương thời với bộ mặt tàn bạo của tầng lớp thống trị.,"Tác phẩm cũng thể hiện rõ số phận của những con người bị áp bức, đặc biệt là số phận bi kịch của người phụ nữ.","Tố cáo lễ giáo phong kiến khắc nghiệt đã đẩy người phụ nữ vào cảnh oan trái, tàn khốc.",Cả A và B.,D,Ngữ văn 9,True
"Những câu thơ sau cho thấy Thúy Kiều là con người như thế nào?
Thông minh vốn sẵn tính trời,
Pha nghề thi họa đủ mùi ca ngâm.
Cung thương làu bậc ngũ âm,
Nghề riêng ăn đứt hồ cầm một trương.
Khúc nhà tay lựa nên chương,
Một thiên Bạc mệnh lại càng não nhân.","Có tài cầm, kì, thi, họa.","Có sự thông minh, sắc sảo.",Có vẻ đẹp hình dáng bên ngoài.,Cả A và B đúng,D,Ngữ văn 9,True
"Khung cảnh mùa xuân được miêu tả với đặc điểm thế nào trong 4 câu thơ đầu trong bài ""Cảnh ngày xuân""?",Là bức tranh xuân với thảm cỏ non trải rộng tới tận chân trời.,Màu sắc cảnh xuân có sự hài hoà đến tuyệt diệu.,"Thể hiện vẻ đẹp riêng của mùa xuân : mới mẻ tinh khôi, giàu sức sống, khoáng đạt, trong trẻo, nhẹ nhàng thanh khiết.","Chữ “điểm ” tả màu sắc cảnh xuân có sự hài hoà đến tuyệt diệu, làm cho cảnh vật sinh động có hồn chứ không tĩnh tại.",C,Ngữ văn 9,True
Sáu câu thơ đầu trong bài Kiều ở lầu Ngưng Bích nói về điều gì?,"Hoàn cảnh Thúy Kiều bị giam lỏng ở bốn bức tường, xung quanh bị bao phủ bởi núi non.","Kiều bị giam lỏng ở lầu Ngưng Bích, không gian xung quanh quạnh vắng, cô đơn, trơ trọi.","Không gian, thời gian khép kín nhấn mạnh tình cảnh cô đơn, buồn bã của Thúy Kiều.",Cả B và C đều đúng,D,Ngữ văn 9,True
Hai câu thơ “Vân Tiên tả đột hữu xông – Khác nào Triệu Tử phá vòng Đương Dang” sử dụng phép tu từ gì?,Nói quá,Ẩn dụ,Nhân hóa,So sánh,D,Ngữ văn 9,True
"Nội dung chính của các câu thơ sau là gì?

Đêm khuya lặng lẽ như tờ,
Nghinh ngang sao mọt mịt mờ sương bay.
Trịnh Hâm khi ấy ra tay,
Vân Tiên bị ngã xô ngay xuống vời.
Trịnh Hâm giả điếc kêu trời,
Cho người thức dậy lấy lời phui pha.","Miêu tả cảnh thanh vắn, mịt mùng của đêm tối.",Miêu tả tâm địa và hành động của Trịnh Hâm.,Miêu tả sự thương xót của mọi người đối với Lục Vân Tiên.,Miêu tả cảnh mọi người cứu Lục Vân Tiên.,B,Ngữ văn 9,True
Bài thơ Đồng chí được sáng tác trong hoàn cảnh nào?,Trước Cách mạng tháng Tám,Trong kháng chiến chống Pháp,Sau đại thắng mùa xuân năm 1975,Trong kháng chiến chống Mĩ,B,Ngữ văn 9,True
Nhận định nào nói đúng nhất vẻ đẹp của hình ảnh những người lính lái xe trong bài thơ này?,Có tư thế hiên ngang và tinh thần dũng cảm,Có những niềm vui sôi nổi của tuổi trẻ trong tình đồng đội,Có ý chí chiến đấu vì miền Nam ruột thịt,Tất cả đều đúng,D,Ngữ văn 9,True
"Biện pháp tu từ nào được sử dụng trong đoạn thơ sau?
Ngửa mặt lên nhìn mặt
có cái gì rưng rưng
như là đồng là bể
như là sông là rừng",Nhân hóa,So sánh,Nói quá,Liệt kê,B,Ngữ văn 9,True
Truyện ngắn Làng viết về đề tài gì?,Người trí thức,Người nông dân,Người phụ nữ,Người lính,B,Ngữ văn 9,True
Truyện Lặng lẽ Sa Pa chủ yếu được kể qua cái nhìn của ai?,Tác giả,Anh thanh niên,Ông họa sĩ già,Cô gái,C,Ngữ văn 9,True
"Câu văn “Xuồng vào bến, thấy một đứa bé độ tám tuổi cắt tóc ngang vai, mặc quần đen, áo bông đỏ đang chơi nhà chòi dưới bóng cây xoài trước sân nhà, đoán biết là con, không thể chờ xuồng cặp lại bến, anh nhún chân nhảy thót lên, xô chiếc xuồng tạt ra, khiến tôi bị chới với” nói lên tâm trạng gì của ông Sáu trong tác phẩm ""Chiếc lược ngà""?","Yêu thương, mong nhớ con đến da diết","Vội vàng, cuống quýt muốn được gặp con","Ân hận vì đã xa nhà quá lâu, không chăm sóc cho vợ con",Nỗi nhớ người vợ sau bao năm xa cách của ông Sáu,B,Ngữ văn 9,True
Bài thơ Viếng lăng Bác được ai sáng tác?,Xuân Diệu,Nguyễn Duy,Phạm Tiến Duật,Viễn Phương,D,Ngữ văn 9,True
Bài thơ Sang thu được viết theo thể thơ nào?,Lục bát,Ngũ ngôn,Song thất lục bát,Thất ngôn tứ tuyệt,B,Ngữ văn 9,True
Truyện ngắn Những ngôi sao xa xôi ra đời vào năm nào?,1970,1971,1976,1975,B,Ngữ văn 9,True
"Đọc đoạn vân sau đây và cho biết cách nghị luận của tác giả
“Đọc sách vốn có ích riêng cho mình, đọc nhiều không thể coi là vinh dự, đọc ít cũng không phải là xấu hổ. Đọc ít mà đọc kĩ, thì sẽ tập thành nếp suy nghĩ sâu xa, trầm ngâm tích luỹ, tưởng tượng tự do đến mức làm đổi thay khí chất; đọc nhiều mà không chịu nghĩ sâu, như cưỡi ngựa qua chợ, tuy châu báu phơi đầy, chỉ tổ làm cho mắt hoa ý loạn, tay không mà về. Thế gian có biết bao người đọc sách chỉ để trang trí bộ mặt, như kẻ trọc phú khoe của, chỉ biết lấy nhiều làm quý. Đối với việc học tập, cách đó chỉ là lừa dối người, dối với việc làm người thì cách đó thể hiện phẩm chất tầm thường, thấp kém”.",Giải thích.,Biện luận so sánh.,Bình luận.,Biện luận so sánh kết hợp với bình luận.,D,Ngữ văn 9,True
