Question,A,B,C,D
"Trong số các bức tượng nổi tiếng dưới đây của nền văn minh Hy Lạp cổ đại, bức tượng nào là một trong 7 kỳ quan thế giới cổ đại?",Tượng thần Vệ nữ (Venus),Tượng Người lực sĩ ném đĩa,Tượng thần Zeus ở Olympia,Tượng nữ thần Artemis
Đơn vị chính trị của Hy Lạp được gọi là…,Vương quốc,Thành bang,Tiểu quốc,Thành phố
"Ở Hy Lạp cổ đại, tổ chức nhà nước theo hai mô hình:",Cộng hòa dân chủ và Cộng hoà quý tộc,Đế chế và Cộng hoà quý tộc,Dân chủ chủ nô và độc tài quân sự,Dân chủ chủ nô và quân chủ lập hiến
"Xã hội Hy Lạp thời đại Homer (Thế kỷ XI-IX tr.CN) sống dựa trên cơ sở nền kinh tế tự nhiên tự cung tự cấp, ngành kinh tế chủ yếu là...",Nông nghiệp,Chăn nuôi,Buôn bán,Thủ công nghiệp
Sự kiện lịch sử quan trọng nào đã diễn ra ở Hy Lạp vào năm 776 tr.CN?,Thành lập thành bang Athens,Thành lập thành bang Sparte,Người Hy Lạp chinh phục thành Troy,Đại hội Olympic
"Những công trình kiến trúc: Đền Parthenon, đền nữ thần Artemis, Lăng mộ Maussolus, tượng thần Zues thuộc về nền văn minh nào?",Ai Cập,Lưỡng Hà,Hy Lạp,La Mã
"Để phân biệt và để nhận biết nô lệ của mình, các chủ nô Hy Lạp thường...",Khắc ký hiệu vào tay mỗi nô lệ,Đeo vòng sắt có đánh ký hiệu vào cổ mỗi nô lệ,Đeo vòng sắt có đánh ký hiệu vào chân mỗi nô lệ,Khắc dấu lên trán mỗi nô lệ
"Cuộc chiến tranh nào dưới đây kéo dài 27 năm (431-404 tr.CN) đã tàn phá nặng nề nền kinh tế và đời sống xã hội của các thành bang Hy Lạp, nhất là Athens?",Hy Lạp - Ba Tư,Hy Lạp - La Mã,Hy Lạp – Makedonia,Peloponnesus
"Các công trình kiến trúc, điêu khắc cổ đại nổi tiếng như đền Parthenon, đền nữ thần Artemis, Lăng mộ Maussolus, tượng thần Zeus, tượng Lực sĩ ném đĩa thuộc nền văn minh nào?",Ai Cập,Ba Tư,Hy Lạp,La Mã
"Các vị thần như: Zeus (vị thần Tối cao), Apollon (thần Ánh sáng và Nghệ thuật), Clio (thần Lịch sử), Aphrodite (thần Tình yêu và Sắc đẹp), Poseidon (thần Biển cả) thuộc nền văn minh nào?",Ai Cập,Hy Lạp,Lưỡng Hà,La Mã
Ai là nhân vật quan trọng nhất trong nền y học Hy Lạp cổ đại và thường được xem là “Cha đẻ của y học hiện đại”?,Heracleides,Hippocrates,Esculates,Faulkner
Hệ thống chữ viết nào dưới đây vẫn còn được sử dụng khắp Tây Âu và châu Mỹ ngày nay?,Hệ thống chữ Hy Lạp,Hệ thống chữ Latinh,Hệ thống chữ Phoenicia,Hệ thống chữ Ai Cập
Tôn giáo nào bắt nguồn từ Chúa Jesus xứ Nazareth?,Hindu giáo,Do Thái giáo,Phật giáo,Kitô giáo
Trung tâm của đời sống chính trị La Mã là…,Hoàng đế,Viện nguyên lão,Thủ lĩnh quân sự,Đại hội bình dân
"“Cùng với chữ Latinh, nó là di sản lâu bền nhất mà người La Mã đã đóng góp vào nền văn minh chung của nhân loại"". Đó là di sản nào?",Triết học,Nghệ thuật,Luật pháp,Khoa học
Việc sử dụng nhiều… vào thời đỉnh cao của La Mã giúp giải thích kỹ thuật sản xuất trì trệ trong chế tạo và nông nghiệp. Hãy điền thông tin vào dấu ba chấm (…)?,Nô lệ,Quân đội,Cư dân,Lao động
"Về nguồn gốc, Kitô giáo đã xuất hiện ở đâu?",Hy Lạp,La Mã,Lưỡng Hà,Ấn Độ
Công trình kiến trúc to lớn và nổi tiếng bậc nhất nào là nơi diễn ra hình thức giải trí đẫm máu nhất của đế chế La Mã cổ đại?,Đấu trường Colosseum,Điện Panthenon,Khải hoàn môn Trajan,Thành La Mã
“Người La Mã” nguyên là cụm từ dùng để gọi…,Người sống trên bán đảo Italia,Người sống ở khu vực đồng bằng Latium,Nhóm người Latinh sống ở thành La Mã,Người sống trong đế quốc La Mã
Thành phố nào được xem là trung tâm quyền lực của đế chế La Mã?,Babilon,Alexanderia,Memphis,Roma
"“Đây không chỉ đơn thuần là nơi giải trí, mà còn là một công trình văn hoá với các thư viện và phòng đọc sách. Tóm lại, đó là cả xã hội Rôma thu gọn”. Đó là công trình kiến trúc nào?",Đền Pantheon,Đấu trường Colosseum,Nhà tắm Caracalla,Khải hoàn môn Trajan
La Mã là điển hình của một chế độ xã hội...,Chiếm hữu nô lệ,Quân chủ chuyên chế,Cộng hòa dân chủ,Cộng hòa quý tộc
"Các công trình kiến trúc nổi tiếng như: Đấu trường Colosseum, Nhà tắm Caracalla, Khải hoàn môn Trajan thuộc nền văn minh cổ đại nào?",Ai Cập,Trung Quốc,Hy Lạp,La Mã
"Các vị thần như: Jupiter (vị thần Tối cao), Apollo (Thần Ánh sáng và bảo trợ cho Nghệ thuật) Venus (thần Tình yêu và Sắc đẹp), Neptune (thần Biển cả) thuộc nền văn minh cổ đại nào?",Ai Cập,Hy Lạp,Lưỡng Hà,La Mã
"Theo định nghĩa về văn minh, điểm nào sau đây của văn minh khác biệt so với văn hóa?","Văn minh chỉ giá trị kỹ thuật, giá trị tinh thần",Văn minh chỉ giá trị vật chất và tinh thần ở trình độ cao,Văn minh chỉ thái độ hành xử văn minh lịch sự,Văn minh chỉ sự thụ hưởng giá trị tinh thần ở trình độ cao
Nhận định nào sau đây về văn minh là đúng,Văn minh có bề dày lịch sử từ khi con người xuất hiện,Văn minh chỉ xuất hiện ở giai đoạn phát triển cao của văn hóa,Văn minh xuất hiện khi xã hội có phân hóa giàu nghèo,Khái niệm văn minh và văn hóa không có sự khác biệt
Mục đích xây dựng Kim tự tháp của người Maya là:,Làm lăng mộ,Làm công trình quân sự,Làm nơi ở cho hoàng tộc,Làm nơi tiến hành các nghi lễ tế thần
"Trong cuộc đời của mình, các Pharaon tiến hành xây dựng Kim tự tháp từ khi nào?",Khi họ sinh ra,Khi họ lập gia đình,Khi họ lên ngôi,"Sau khi họ chết, người con kế vị xây cho"
Bốn trung tâm văn minh lớn của phương Đông cổ đại là,"Ấn Độ, Trung Quốc, Nhật Bản, Đông Nam Á","Trung Quốc, Lưỡng Hà, Nhật Bản, Ai Cập","Trung Quốc, Lưỡng Hà, Ấn Độ, Ai Cập","Nhật Bản, Lưỡng Hà, Đông Nam Á, Ấn Độ"
Văn minh Lưỡng Hà nằm ở khu vực nào sau đây?,Viễn Đông,Trung Đông,tộc Á,Trung Á
Văn minh Ả Rập xuất hiện từ thời kỳ:,Cổ đại,Trung đại,Cận đại,Hiện đại
Chữ viết Ai Cập cổ đại buổi ban đầu là dạng chữ:,Tượng thanh,Tượng ý,Tượng hình,Hình đinh
"Trong số các nhận định sau, nhận định nào đúng nhất đối với khái niệm văn minh?",Văn minh là dấu hiệu để phân biệt quốc gia này so với quốc gia khác,Văn minh là khái niệm thuộc về phương Tây,Văn minh là lát cắt đồng đại của lịch sử,Dân tộc nào cũng có văn minh
"Thời Trung và Tân Vương quốc, văn học người Ai Cập tập trung phản ánh:",Đời sống các vị thần,Đời sống các Pharaon và hoàng tộc,"Đời sống tâm linh, nghi lễ thờ cúng","Mâu thuẫn xã hội, nỗi khổ của người lao động"
Văn học buổi đầu của người Ai Cập tập trung ca ngợi:,Các chiến binh,Các Pharaon,Những người xây dựng kim tự tháp,Các vị thần
Những Vương triều nào của các Pharaon được mệnh danh là “thời kỳ Kim tự tháp”,"Vương triều III, IV","Vương triều II, III","Vương triều IV, V","Vương triều I,II"
Công trình nào sau đây không được xây dựng để tặng vợ?,Đền Loro Gionggrang,Cung A Phòng,Đền Taj Mahan,Vườn treo Babilon
Chữ viết của người Ai Cập cổ đại còn được lưu lại nhiều nhất trong các văn bản thuộc lĩnh vực:,Xây dựng,Tôn giáo,Pháp luật,Hành chính
Nhận định nào sau đây đúng nhất đối với khái niệm văn minh?,Văn minh là nét riêng thuộc về một quốc gia,Văn minh có tính siêu dân tộc,Văn minh là nét riêng thuộc về một khu vực,Văn minh là nét riêng thuộc về một giai cấp
Hệ thống số của người Maya được xây dựng theo hệ số nào?,20,60,10,12
Kim tự tháp của người Maya được xây dựng ở khu vực:,Trung Mỹ,Biển Caribe,Nam Mỹ,Bắc Mỹ
Kim tự tháp Ai Cập được xây dựng nhiều vào vương triều:,Thứ I và II,Thứ IV và V,Thứ II và III,Thứ III và IV
Quốc gia cổ đại nào đã có công tính lịch chính xác như ngày nay (một năm có 365 ngày và ¼ ngày),Lưỡng Hà,Trung Quốc,Inca,Maya
"Trong số các quốc gia cổ đại sau, quốc gia nào có công phát minh ra chữ số không?",Ấn Độ,Ai cập,Lưỡng Hà,La Mã
Nhân công xây dựng Vạn lý trường thành chủ yếu là:,Tù nhân và nông dân,Tù nhân và binh lính,Binh lính và quân chư hầu,Nông dân và binh lính
"Trong buổi đầu ra đời, tư tưởng của Phật giáo là:",Đa thần giáo,Vô thần,Duy tâm khách quan,Duy tâm chủ quan
Stupa Sanchi là bảo tháp có kiến trúc:,Hình kim tự tháp,Hình bát úp,Hình tháp nhiều tầng,Hình trụ đứng
Phù điêu của công trình Borobudua ở Indonesia tả cảnh:,Chiến tranh giữa các tiểu quốc,Thế giới nhà Phật,Truyền thuyết “khuấy động biển sữa”,Trong sử thi Ramayana
Phong hỏa đài được xây dựng trên Vạn lý trường thành có chức năng chủ yếu là:,Nơi đồn trú của quân đội,Kho vũ khí,Kho lương thực,Điểm phát hiệu lệnh có kẻ địch
Stupa là công trình Phật giáo dùng để:,Thờ tượng đức Phật,Làm nơi ở tu hành suốt đời của các tín đồ,Hành lễ hàng ngày của các tín đồ,Đặt thánh tích của đức Phật
"Theo quan niệm của Hindu giáo, Liga là biểu tượng của:",Thần Siva,Không của thần nào,Thần Brahma,Thần Vishnu
Lính tháp canh cảnh giới tại Vạn lý trường thành thời phong kiến có thời gian phục vụ là:,5 năm,Hết thời gian nghĩa vụ,1 năm,Hết đời người
Loro Gionggrang ở Indonesia là công trình kiến trúc:,Hindu giáo,Phật giáo,Thiên chúa giáo,Hồi giáo
Đế chế Đông La Mã tồn tại trong khoảng thời gian nào sau đây?,330 – 1453,476 – 1492,395 – 1453,476 – 1495
Trong các trường đại học ở châu Âu thế kỷ XI thường có bốn khoa nhưng người học phải hoàn thành chương trình của khoa nào sau đây mới tiếp tục được học các khoa khác?,Nghệ thuật,Thần học,Luật,Y học
Khải hoàn môn được cư dân nền văn minh nào dựng nên?,Lưỡng Hà,La Mã,Hy Lạp,Ai Cập
Nghệ thuật kiến trúc Gôtích khác nghệ thuật Rôman ở chỗ:,Là lối kiến trúc mái vòm bán nguyệt,Là lối kiến trúc các gân cung giao nhau,Là lối kiến trúc nhỏ gọn,Được coi là nghệ thuật kiến trúc đồng quê
Nhận xét nào sau đây không đúng về Phong trào Văn hóa Phục hưng:,"Tuyên truyền lối sống khổ hạnh, hạnh phúc sẽ đạt được nơi Thiên Đàng","Đưa văn hóa thoát khỏi tôn giáo, thần học","Chống giáo hội, quý tộc phong kiến với những tư tưởng của nó","Đề cao con người, coi con người là “vàng ngọc của vũ trụ”"
Điều nào sau đây không đúng khi nói về trường đại học ở châu Âu thế kỷ XI,Kinh phí do quốc gia cung cấp,Người học được cổ vũ tinh thần hoài nghi và chất vấn khi học,Được tổ chức như những phường hội thợ thủ công,Ra đời một cách tự phát
Thông tin nào sau đây về Thánh đường Thạch Vòm (Kubbat al-Sakhra) không chính xác.,Xây dựng ở Mecca,Nét đặc biệt ở chỗ đây là nơi che giữ khối đá đen,Tòa nhà có kiến trúc hình bát giác,Một trong bốn kỳ quan Hồi giáo
Tại sao chính quyền La Mã lại soạn bộ luật “Mười hai bảng”?,Vì giới quý tộc yêu cầu,Vì giới công thương yêu cầu,Vì giới bình dân yêu cầu,Vì các nhà quân sự yêu cầu
Tại sao?,Vì các chiến binh Giecman chiếm làm nơi đóng quân,Vì nó được chuyển thành nhà thờ Công giáo,Vì các thủ lĩnh Giecman chiếm làm nơi đặt sở chỉ huy,Vì nó là phế tích không ai phát hiện ra
Điều nào sau đây là điểm nổi bật của văn minh La Mã hơn cả văn minh Hy Lạp,Sản sinh ra nhiều nhà khoa học,Có nhiều thành tựu văn học và kịch nghệ,"Có nhiều trường phái, trào lưu triết học và những triết gia nổi tiếng",Có nhiều công trình nhà tắm công cộng
Đền thờ Hy Lạp cổ đại có đặc điểm khác biệt so với các công trình tôn giáo khác ở chỗ:,"Chỉ là nơi đặt tượng, không phải nơi hành lễ của các tín đồ",Chỉ là nơi lui tới của giới chủ nô,"Câu a, b là đúng",Kiến trúc đồ sộ
Công trình nào ở đô thị cổ Pagan được dát vàng hoàn toàn?,Shwezigon Paya,Gawdawpalin Pahto,Sulamani,Thatbyinnyu Pahto
Thông tin nào sau đây về đấu trường Colosseum là không chính xác,Là nơi diễn ra các trận quyết đấu giữa người với thú dữ,Được xây dựng trên mặt bằng hình tròn,Được xây dựng vào thế kỷ đầu công nguyên,Nơi đây từng được Giáo hội Công giáo dùng làm nơi phong thánh
Nhà tắm Caracalla ở Roma là công trình công cộng nổi tiếng bởi:,Nghệ thuật kiến trúc của công trình,Chất liệu làm nên công trình,Các tác phẩm nghệ thuật có trong công trình,Công năng sử dụng của công trình
Angkor Wat là công trình kiến trúc:,Đền thờ thần,Quân sự,Cung điện,Lăng mộ
"Tác giả vở bi kịch ""Promethee bị xiềng"" trong văn học Hy Lạp cổ đại là:",Eshchyle,Euripites,Aristopanes,Sophocles
